t,alt
0,0.0
1,1.0
2,1.4
3,2.8
4,20.3
5,37.9
6,47.0
7,48.1
8,44.6
9,40.1
10,39.4
11,40.5
12,39.2
13,37.1
14,37.0
15,37.3
16,36.8
17,36.8
18,37.0
19,36.1
20,34.7
21,34.9
22,34.9
23,34.3
24,33.4
25,33.4
26,31.4
27,27.3
28,24.9
29,25.3
30,25.6
31,26.2
32,25.8
33,25.0
34,24.4
35,23.8
36,17.4
37,17.3
38,17.5
39,17.5
40,16.3
41,14.1
42,13.4
43,12.1
44,11.2
45,12.7
46,13.1
47,11.6
48,9.3
49,6.9
50,5.2
51,3.0
52,2.6
53,4.1
54,5.0
55,5.0
56,5.2
57,4.4
58,3.3
59,3.6
60,2.2
61,2.4
62,2.5
63,1.2
64,1.5
65,1.8
