t,alt
0,0.4
1,0.5
2,0.9
3,4.1
4,25.0
5,38.5
6,38.7
7,37.0
8,35.8
9,35.4
10,34.8
11,34.1
12,32.8
13,33.0
14,33.7
15,34.1
16,33.8
17,33.8
18,33.5
19,32.9
20,31.2
21,31.3
22,31.6
23,30.9
24,30.5
25,29.7
26,28.2
27,27.8
28,28.4
29,27.2
30,24.5
31,23.8
32,24.2
33,25.0
34,25.1
35,25.0
36,25.2
37,24.6
38,23.7
39,22.7
40,22.0
41,20.7
42,19.0
43,18.7
44,19.7
45,19.8
46,18.9
47,18.6
48,19.5
49,19.5
50,19.8
51,18.8
52,16.7
53,15.7
54,15.4
55,15.9
56,15.6
57,15.0
58,13.6
59,12.2
60,12.8
61,10.4
62,9.2
63,9.9
64,7.5
65,4.6
66,3.8
67,4.2
68,3.8
69,3.0
70,2.4
71,1.8
72,1.6
73,1.0
74,1.1
75,1.4
76,1.2
77,1.3
78,1.5
79,1.5
80,0.7
