t,alt
0,0.4
1,0.4
2,1.2
3,1.2
4,25.3
5,41.9
6,45.2
7,44.4
8,42.9
9,43.3
10,43.3
11,43.3
12,44.6
13,45.1
14,43.8
15,43.8
16,44.2
17,44.6
18,43.7
19,43.8
20,45.4
21,45.3
22,44.1
23,44.6
24,44.3
25,43.3
26,43.2
27,42.2
28,41.6
29,43.7
30,43.3
31,43.3
32,42.5
33,41.6
34,39.9
35,40.5
36,41.7
37,42.2
38,41.7
39,41.4
40,40.3
41,39.0
42,40.1
43,40.8
44,41.2
45,40.7
46,39.8
47,39.2
48,39.9
49,39.8
50,38.7
51,38.1
52,37.2
53,36.6
54,36.9
55,36.4
56,35.2
57,32.4
58,30.3
59,32.4
60,34.7
61,34.4
62,32.3
63,32.6
64,31.8
65,28.2
66,24.7
67,24.6
68,25.0
69,25.8
70,25.8
71,24.6
72,23.4
73,25.5
74,23.6
75,20.5
76,16.5
77,14.2
78,16.6
79,17.8
80,17.9
81,15.9
82,14.0
83,12.2
84,11.8
85,11.5
86,11.8
87,12.1
88,11.1
89,8.7
90,7.7
91,7.9
92,7.9
93,6.3
94,4.0
95,2.7
96,3.3
97,2.3
98,2.9
99,1.9
100,1.9
101,2.5
102,0.6
103,0.2
104,0.2
