t,alt
0,0.5
1,0.5
2,1.0
3,2.9
4,17.2
5,37.2
6,40.8
7,38.6
8,36.9
9,36.8
10,36.7
11,36.0
12,34.0
13,33.5
14,33.8
15,33.8
16,33.7
17,33.9
18,34.3
19,33.7
20,33.0
21,33.7
22,34.0
23,33.6
24,34.5
25,34.4
26,32.7
27,32.0
28,33.0
29,32.5
30,31.1
31,29.9
32,30.4
33,31.1
34,29.8
35,29.3
36,29.2
37,29.0
38,27.9
39,27.0
40,26.7
41,25.6
42,25.2
43,25.9
44,25.6
45,24.8
46,24.1
47,23.1
48,21.3
49,21.1
50,21.7
51,22.2
52,21.4
53,21.3
54,20.8
55,20.5
56,19.7
57,19.4
58,18.8
59,18.6
60,17.7
61,17.1
62,16.6
63,15.5
64,14.7
65,14.2
66,14.3
67,14.3
68,12.6
69,11.4
70,11.4
71,10.7
72,9.2
73,6.0
74,4.3
75,3.7
76,2.8
77,2.3
78,2.6
79,2.0
80,1.9
81,1.7
82,0.5
83,0.6
