t,alt
0,0.7
1,0.7
2,0.9
3,2.6
4,13.6
5,34.9
6,45.8
7,48.1
8,45.0
9,42.1
10,38.9
11,37.7
12,38.1
13,38.3
14,38.6
15,38.1
16,37.5
17,37.3
18,37.0
19,37.2
20,36.9
21,36.1
22,35.5
23,34.3
24,33.3
25,31.6
26,28.8
27,27.6
28,26.3
29,27.5
30,28.9
31,28.4
32,26.9
33,26.0
34,25.8
35,25.8
36,25.3
37,24.6
38,24.3
39,23.7
40,22.7
41,21.8
42,21.0
43,19.5
44,19.2
45,19.5
46,19.5
47,18.2
48,16.8
49,16.9
50,17.2
51,16.2
52,15.8
53,15.8
54,14.8
55,13.5
56,12.4
57,11.2
58,10.4
59,8.7
60,5.9
61,4.0
62,3.6
63,3.5
64,3.6
65,1.4
66,0.7
67,0.7
68,0.7
69,0.7
