t,alt
0,0.0
1,1.2
2,1.7
3,3.3
4,17.7
5,34.0
6,41.9
7,40.8
8,37.2
9,37.5
10,39.1
11,39.4
12,38.1
13,37.6
14,37.7
15,37.1
16,36.9
17,35.8
18,34.8
19,35.1
20,34.6
21,34.3
22,33.8
23,33.8
24,33.2
25,31.0
26,27.8
27,24.4
28,22.6
29,20.4
30,18.4
31,16.9
32,15.1
33,14.9
34,14.3
35,17.6
36,20.1
37,19.9
38,19.1
39,18.5
40,17.9
41,17.0
42,16.8
43,18.0
44,17.6
45,16.1
46,15.2
47,14.5
48,13.3
49,11.6
50,12.2
51,11.8
52,11.8
53,12.1
54,12.3
55,11.6
56,11.3
57,9.8
58,7.9
59,6.8
60,6.0
61,6.6
62,5.4
63,4.2
64,4.3
65,3.1
66,2.8
67,3.1
68,3.1
69,3.5
70,4.2
71,3.5
72,3.0
73,1.0
74,1.1
75,1.1
