t,alt
0,0.0
1,0.6
2,1.0
3,2.3
4,16.1
5,32.0
6,39.8
7,39.2
8,37.5
9,35.0
10,34.4
11,35.1
12,35.2
13,32.4
14,30.6
15,30.9
16,31.6
17,31.6
18,29.4
19,27.3
20,28.0
21,28.0
22,26.8
23,26.1
24,25.0
25,26.2
26,26.5
27,25.5
28,25.1
29,24.6
30,24.4
31,24.4
32,23.4
33,21.0
34,21.2
35,21.6
36,21.6
37,21.2
38,19.7
39,19.7
40,19.7
41,17.9
42,17.0
43,16.4
44,15.3
45,15.6
46,16.4
47,18.1
48,18.9
49,18.9
50,19.2
51,18.9
52,17.7
53,19.3
54,18.2
55,14.5
56,13.6
57,14.9
58,15.9
59,15.8
60,15.0
61,13.1
62,11.4
63,10.7
64,8.7
65,7.1
66,7.0
67,5.9
68,5.7
69,4.8
70,3.1
71,2.8
72,3.8
73,3.1
74,2.1
75,2.3
76,2.1
77,1.7
78,-0.3
79,0.1
80,0.1
