t,alt
0,0.8
1,0.8
2,1.1
3,4.3
4,15.3
5,33.0
6,40.6
7,41.0
8,41.0
9,39.7
10,37.1
11,35.6
12,34.0
13,36.0
14,38.7
15,37.3
16,36.0
17,35.4
18,34.3
19,32.8
20,32.2
21,32.4
22,33.8
23,34.3
24,34.2
25,34.0
26,31.7
27,28.3
28,28.7
29,25.0
30,18.5
31,17.0
32,17.6
33,19.5
34,21.1
35,21.5
36,20.8
37,19.9
38,20.2
39,20.8
40,19.5
41,18.5
42,16.3
43,14.2
44,13.1
45,12.4
46,13.0
47,10.7
48,8.5
49,8.0
50,8.6
51,7.3
52,6.5
53,6.5
54,4.7
55,3.3
56,1.4
57,3.8
58,4.0
59,3.9
60,2.9
61,2.7
62,2.1
63,2.2
64,1.3
65,1.6
66,1.5
