t,alt
0,1.6
1,2.2
2,3.0
3,11.5
4,31.9
5,35.8
6,37.2
7,37.1
8,35.8
9,34.6
10,33.7
11,33.2
12,34.4
13,35.5
14,34.8
15,34.4
16,34.5
17,35.2
18,34.1
19,32.3
20,32.7
21,34.2
22,33.4
23,32.0
24,31.3
25,30.9
26,25.9
27,20.7
28,19.2
29,18.9
30,23.2
31,25.3
32,26.4
33,25.7
34,24.4
35,24.4
36,22.9
37,20.2
38,20.7
39,19.8
40,17.9
41,17.5
42,17.6
43,17.0
44,16.4
45,15.7
46,14.8
47,13.4
48,13.1
49,12.2
50,10.6
51,10.0
52,9.2
53,7.7
54,7.1
55,8.0
56,7.9
57,5.2
58,5.3
59,4.8
60,5.4
61,4.4
62,5.1
63,4.4
64,4.5
65,3.9
66,3.9
67,3.1
68,2.7
69,1.4
70,1.5
