t,alt
0,0.0
1,0.1
2,0.1
3,0.9
4,4.2
5,25.2
6,35.8
7,40.9
8,38.8
9,36.6
10,35.9
11,36.4
12,36.8
13,36.3
14,35.5
15,34.2
16,33.8
17,33.7
18,33.2
19,32.1
20,30.6
21,28.6
22,26.6
23,26.2
24,25.9
25,25.7
26,25.2
27,24.2
28,22.6
29,22.2
30,21.6
31,21.4
32,21.3
33,19.4
34,17.2
35,17.4
36,14.7
37,12.4
38,10.4
39,9.8
40,10.9
41,13.1
42,14.5
43,14.2
44,12.6
45,13.1
46,14.1
47,12.7
48,10.6
49,11.6
50,12.1
51,12.1
52,11.5
53,9.7
54,8.9
55,8.4
56,8.6
57,9.5
58,9.2
59,8.4
60,7.0
61,6.5
62,6.6
63,5.6
64,4.8
65,3.5
66,3.1
67,2.6
68,1.6
69,1.3
70,1.9
71,1.9
72,0.5
73,0.0
74,0.0
75,-0.1
76,0.0
