t,alt
0,0.0
1,0.4
2,0.6
3,1.9
4,15.9
5,31.8
6,40.2
7,40.9
8,36.8
9,34.5
10,34.1
11,34.6
12,34.9
13,34.0
14,33.2
15,34.2
16,33.7
17,31.8
18,31.4
19,32.0
20,32.4
21,30.2
22,28.9
23,28.0
24,26.3
25,25.5
26,25.3
27,26.3
28,25.8
29,24.3
30,24.2
31,24.0
32,24.6
33,23.7
34,21.9
35,20.6
36,20.5
37,20.1
38,19.6
39,18.8
40,18.3
41,18.1
42,17.1
43,15.7
44,15.4
45,14.8
46,14.3
47,13.8
48,13.8
49,14.7
50,15.3
51,14.2
52,12.6
53,11.2
54,11.3
55,11.3
56,11.6
57,11.1
58,11.4
59,10.3
60,10.4
61,10.7
62,8.5
63,6.7
64,5.9
65,7.5
66,7.7
67,6.4
68,5.7
69,5.8
70,5.3
71,4.7
72,4.8
73,4.4
74,3.9
75,2.8
76,3.1
77,2.6
78,1.9
79,1.7
80,1.0
