t,alt
0,0.8
1,0.9
2,1.3
3,2.4
4,17.5
5,34.1
6,40.0
7,41.7
8,41.2
9,40.3
10,40.3
11,40.5
12,39.4
13,36.8
14,36.0
15,35.9
16,36.5
17,36.6
18,36.1
19,35.4
20,35.1
21,34.5
22,33.1
23,32.2
24,31.9
25,32.1
26,31.8
27,30.2
28,28.2
29,28.6
30,27.7
31,27.2
32,26.7
33,26.6
34,26.1
35,26.0
36,25.3
37,24.5
38,24.5
39,24.0
40,22.6
41,21.8
42,21.3
43,21.2
44,20.9
45,20.3
46,19.9
47,19.3
48,17.5
49,17.4
50,17.1
51,15.8
52,14.5
53,14.0
54,13.2
55,11.6
56,11.3
57,10.4
58,8.8
59,6.0
60,3.4
61,3.6
62,4.6
63,3.6
64,3.5
65,3.8
66,2.9
67,1.6
68,2.2
69,1.8
70,1.9
71,1.7
72,1.5
73,1.5
74,1.6
75,1.0
76,0.6
