t,alt
0,0.7
1,0.7
2,0.7
3,2.2
4,12.8
5,31.4
6,39.1
7,40.1
8,39.2
9,38.0
10,36.5
11,36.1
12,36.0
13,35.3
14,34.7
15,33.6
16,33.0
17,32.6
18,32.4
19,31.3
20,31.1
21,30.0
22,27.6
23,26.0
24,24.6
25,23.3
26,22.2
27,22.1
28,22.6
29,21.7
30,19.8
31,17.3
32,15.9
33,16.2
34,17.3
35,17.7
36,17.9
37,18.3
38,18.0
39,18.0
40,18.2
41,18.0
42,18.5
43,19.2
44,19.9
45,18.9
46,17.6
47,17.8
48,18.3
49,18.0
50,17.8
51,17.1
52,17.0
53,17.4
54,17.1
55,17.4
56,17.4
57,16.5
58,16.5
59,16.6
60,16.0
61,15.5
62,14.6
63,16.2
64,16.4
65,14.7
66,14.2
67,14.3
68,14.5
69,15.0
70,13.9
71,13.0
72,13.0
73,13.2
74,13.7
75,12.8
76,11.9
77,11.4
78,11.1
79,11.0
80,9.3
81,7.2
82,6.7
83,8.0
84,8.3
85,7.7
86,7.1
87,6.5
88,6.1
89,6.2
90,5.9
91,5.0
92,4.6
93,3.9
94,3.2
95,3.6
96,3.2
97,2.8
98,3.0
99,1.9
100,1.6
101,1.8
102,1.2
103,1.5
104,0.9
105,0.4
106,0.4
107,0.4
