t,alt
0,1.6
1,1.5
2,1.6
3,1.6
4,2.4
5,6.2
6,26.8
7,38.6
8,40.5
9,39.8
10,36.7
11,33.7
12,32.3
13,30.7
14,31.9
15,32.7
16,33.4
17,32.7
18,32.6
19,32.9
20,32.7
21,32.3
22,31.2
23,30.4
24,28.1
25,26.0
26,26.9
27,28.8
28,30.3
29,31.2
30,29.9
31,29.3
32,29.4
33,28.7
34,27.5
35,27.6
36,26.4
37,27.8
38,26.4
39,24.1
40,24.3
41,23.8
42,24.1
43,25.0
44,24.8
45,24.8
46,23.6
47,21.0
48,16.8
49,15.2
50,12.5
51,10.5
52,11.6
53,13.8
54,14.7
55,13.3
56,11.5
57,12.6
58,12.1
59,10.3
60,9.5
61,8.1
62,7.7
63,7.2
64,6.2
65,4.9
66,3.7
67,3.8
68,0.0
69,1.4
70,1.4
71,1.4
72,1.3
73,1.3
