t,alt
0,0.5
1,0.6
2,0.6
3,0.5
4,0.6
5,0.6
6,0.5
7,0.9
8,2.9
9,17.1
10,32.2
11,38.6
12,39.0
13,36.9
14,35.6
15,35.1
16,34.6
17,34.4
18,33.5
19,32.8
20,32.2
21,31.5
22,30.1
23,29.7
24,28.9
25,28.5
26,27.8
27,27.3
28,26.5
29,25.6
30,25.8
31,25.9
32,25.5
33,24.2
34,22.0
35,21.9
36,22.5
37,22.4
38,21.9
39,22.0
40,21.2
41,20.3
42,19.8
43,19.0
44,18.1
45,16.6
46,15.4
47,14.0
48,13.0
49,13.0
50,12.7
51,11.2
52,8.8
53,9.1
54,7.7
55,5.9
56,4.9
57,5.2
58,6.2
59,5.9
60,5.2
61,4.4
62,3.6
63,3.1
64,2.8
65,2.6
66,1.9
67,1.2
68,1.0
69,0.6
70,0.3
71,0.2
72,0.2
73,0.2
