t,alt
0,1.1
1,1.0
2,1.0
3,1.9
4,7.2
5,30.3
6,42.2
7,46.7
8,45.5
9,43.1
10,41.5
11,40.3
12,38.6
13,37.4
14,36.4
15,35.4
16,34.0
17,32.8
18,32.6
19,32.2
20,30.8
21,27.1
22,24.8
23,24.6
24,22.9
25,22.2
26,20.3
27,19.6
28,19.7
29,18.4
30,14.7
31,14.9
32,17.2
33,17.4
34,17.2
35,16.8
36,15.9
37,15.5
38,15.9
39,15.4
40,14.3
41,14.1
42,12.6
43,11.0
44,9.6
45,6.9
46,7.9
47,8.3
48,8.7
49,8.7
50,8.4
51,8.7
52,8.1
53,7.8
54,7.2
55,5.1
56,3.9
57,2.3
58,2.3
59,2.9
60,3.5
61,4.0
62,3.2
63,2.6
64,2.6
65,2.0
66,0.9
67,0.8
