t,alt
0,0.0
1,1.1
2,1.1
3,1.0
4,1.1
5,2.4
6,14.3
7,34.2
8,44.0
9,45.5
10,47.5
11,45.6
12,44.8
13,43.7
14,43.3
15,43.7
16,43.6
17,42.4
18,41.1
19,39.4
20,35.5
21,29.8
22,24.0
23,22.8
24,26.5
25,30.6
26,30.5
27,30.2
28,30.5
29,30.8
30,30.4
31,28.4
32,24.2
33,22.7
34,22.4
35,20.9
36,17.6
37,16.6
38,15.8
39,18.4
40,19.7
41,19.6
42,18.0
43,14.6
44,9.2
45,7.6
46,6.2
47,7.3
48,9.1
49,10.4
50,9.9
51,9.0
52,7.4
53,6.2
54,5.1
55,4.0
56,3.9
57,2.7
58,3.4
59,3.2
60,2.5
61,2.0
62,1.6
63,0.9
64,0.8
65,0.8
66,0.8
