t,alt
0,0.6
1,0.5
2,0.6
3,1.6
4,6.8
5,25.7
6,36.0
7,35.7
8,35.5
9,35.9
10,35.8
11,35.6
12,34.6
13,33.9
14,33.2
15,32.6
16,32.4
17,31.9
18,31.5
19,30.9
20,30.5
21,29.5
22,28.5
23,28.3
24,29.0
25,29.7
26,29.1
27,29.2
28,29.0
29,27.7
30,27.5
31,27.2
32,26.5
33,26.9
34,26.7
35,26.0
36,24.4
37,24.2
38,23.6
39,23.3
40,23.4
41,22.7
42,21.9
43,22.4
44,21.2
45,19.1
46,19.0
47,19.0
48,18.4
49,18.1
50,17.6
51,15.8
52,14.4
53,13.9
54,12.0
55,9.5
56,8.7
57,8.8
58,9.5
59,9.1
60,7.0
61,6.3
62,5.8
63,5.4
64,4.6
65,3.4
66,2.5
67,2.6
68,2.1
69,2.1
70,1.2
71,1.0
72,1.2
73,1.2
74,1.1
