t,alt
0,0.8
1,0.8
2,0.8
3,1.0
4,2.9
5,14.1
6,34.3
7,44.5
8,45.0
9,43.8
10,42.4
11,41.5
12,41.7
13,41.9
14,41.8
15,41.3
16,39.7
17,36.7
18,35.9
19,35.8
20,35.9
21,35.2
22,32.9
23,31.0
24,30.4
25,29.7
26,30.0
27,30.2
28,30.5
29,29.9
30,28.8
31,26.8
32,27.7
33,28.0
34,26.8
35,26.3
36,27.2
37,26.9
38,26.5
39,25.3
40,24.6
41,24.7
42,24.7
43,24.5
44,23.2
45,21.4
46,21.4
47,21.8
48,21.0
49,20.9
50,19.7
51,15.6
52,15.0
53,16.6
54,16.7
55,16.5
56,16.4
57,15.6
58,13.1
59,12.1
60,11.5
61,10.7
62,10.0
63,8.4
64,6.7
65,5.3
66,3.4
67,5.2
68,3.6
69,3.9
70,4.8
71,3.3
72,2.8
73,3.2
74,2.2
75,1.3
76,1.3
77,1.4
