t,alt
0,0.9
1,1.0
2,1.4
3,3.6
4,17.7
5,34.9
6,41.6
7,41.9
8,39.4
9,39.3
10,38.7
11,37.3
12,36.1
13,35.8
14,35.7
15,34.7
16,34.2
17,33.1
18,33.0
19,31.3
20,30.0
21,26.8
22,24.9
23,25.9
24,26.4
25,26.4
26,25.5
27,24.4
28,23.8
29,23.5
30,22.4
31,20.8
32,20.7
33,21.7
34,22.1
35,21.6
36,20.0
37,20.0
38,20.3
39,19.6
40,17.7
41,14.6
42,13.7
43,12.5
44,12.3
45,12.8
46,12.3
47,10.8
48,9.5
49,9.5
50,9.2
51,8.6
52,7.8
53,7.4
54,6.5
55,5.7
56,5.5
57,5.3
58,3.9
59,3.6
60,3.0
61,2.4
62,1.9
63,0.0
64,0.8
65,0.8
