t,alt
0,0.0
1,1.2
2,1.2
3,1.4
4,4.9
5,20.5
6,32.9
7,41.4
8,40.9
9,38.3
10,37.6
11,38.1
12,38.0
13,40.1
14,43.1
15,45.4
16,45.5
17,46.0
18,48.3
19,50.0
20,49.6
21,50.0
22,52.1
23,53.6
24,54.1
25,53.2
26,54.5
27,55.1
28,57.3
29,57.5
30,58.7
31,59.8
32,63.3
33,64.4
34,65.8
35,66.4
36,65.1
37,65.5
38,67.8
39,69.9
40,72.1
41,74.6
42,75.5
43,76.5
44,77.9
45,79.9
46,80.7
47,81.0
48,80.1
49,79.1
50,77.7
51,77.7
52,76.7
53,74.0
54,71.5
55,68.6
56,66.5
57,66.7
58,68.3
59,65.9
60,63.5
61,62.7
62,61.0
63,60.1
64,56.1
65,51.6
66,50.2
67,48.4
68,45.1
69,42.5
70,40.6
71,40.0
72,39.5
73,37.5
74,35.8
75,35.1
76,31.8
77,29.5
78,27.9
79,28.0
80,27.3
81,24.8
82,21.8
83,21.0
84,21.4
85,21.4
86,20.6
87,20.3
88,19.8
89,18.6
90,16.6
91,15.3
92,15.2
93,12.6
94,9.9
95,9.0
96,8.1
97,6.8
98,6.0
99,5.2
100,4.0
101,3.3
102,3.8
103,3.7
104,2.7
105,2.0
106,1.9
107,1.6
108,1.3
109,1.6
110,1.5
111,1.5
112,1.4
113,1.5
114,1.5
115,1.5
116,1.4
117,1.4
118,1.3
119,1.4
120,1.4
121,0.8
122,0.5
123,0.5
