t,alt
0,0.7
1,0.7
2,1.3
3,4.3
4,18.0
5,35.8
6,43.1
7,43.0
8,40.5
9,39.0
10,38.6
11,38.1
12,37.7
13,37.1
14,37.5
15,37.4
16,37.4
17,35.8
18,33.5
19,31.2
20,30.6
21,33.1
22,33.1
23,31.5
24,28.7
25,25.1
26,24.6
27,23.5
28,23.8
29,25.8
30,26.6
31,26.5
32,24.6
33,20.6
34,20.1
35,20.7
36,21.7
37,21.9
38,22.0
39,21.8
40,21.3
41,20.8
42,19.3
43,17.8
44,15.2
45,12.8
46,11.8
47,9.3
48,8.1
49,7.3
50,7.4
51,8.3
52,8.1
53,8.2
54,8.0
55,6.2
56,5.7
57,5.0
58,3.4
59,2.8
60,3.6
61,2.9
62,3.2
63,3.1
64,2.2
65,2.0
66,1.3
67,1.5
68,1.5
69,1.4
70,1.5
71,1.6
72,1.5
73,1.5
