t,alt
0,0.4
1,0.6
2,2.2
3,13.3
4,36.5
5,40.8
6,38.5
7,38.9
8,38.4
9,38.0
10,37.7
11,36.5
12,36.2
13,35.4
14,34.0
15,32.9
16,31.7
17,29.9
18,28.8
19,25.8
20,25.8
21,24.5
22,24.2
23,23.8
24,24.3
25,24.9
26,23.3
27,22.0
28,19.9
29,19.6
30,19.8
31,21.3
32,22.4
33,22.6
34,22.6
35,21.4
36,19.7
37,20.0
38,20.6
39,20.4
40,20.7
41,21.0
42,21.0
43,20.2
44,19.5
45,18.7
46,18.1
47,18.3
48,17.1
49,15.9
50,16.0
51,15.5
52,14.2
53,14.2
54,13.5
55,11.5
56,10.1
57,9.4
58,7.4
59,6.7
60,5.1
61,4.7
62,3.8
63,2.1
64,2.4
65,2.3
66,1.7
67,1.5
68,1.4
69,1.4
