t,alt
0,0.6
1,0.6
2,1.4
3,4.5
4,18.5
5,36.3
6,46.1
7,47.2
8,45.3
9,43.8
10,43.2
11,43.3
12,42.3
13,40.7
14,40.0
15,38.3
16,35.0
17,35.2
18,34.6
19,32.2
20,29.7
21,26.5
22,22.5
23,22.8
24,24.4
25,23.6
26,23.2
27,21.3
28,19.6
29,17.5
30,17.8
31,17.4
32,16.3
33,16.2
34,16.5
35,17.0
36,16.2
37,15.2
38,13.5
39,12.9
40,12.3
41,12.5
42,12.9
43,11.5
44,10.9
45,10.9
46,9.9
47,9.3
48,8.8
49,7.7
50,7.1
51,6.3
52,6.5
53,6.3
54,5.0
55,3.7
56,3.8
57,4.2
58,3.7
59,1.7
60,2.3
61,2.4
62,2.4
63,1.8
64,1.8
65,1.1
66,0.4
67,0.4
