t,alt
0,0.8
1,0.8
2,1.5
3,4.0
4,20.4
5,36.0
6,43.1
7,43.0
8,40.7
9,39.3
10,39.2
11,39.5
12,37.5
13,34.1
14,33.4
15,34.0
16,34.2
17,32.8
18,31.6
19,30.7
20,29.3
21,27.4
22,26.5
23,26.2
24,25.2
25,23.5
26,21.8
27,22.4
28,22.9
29,22.2
30,21.8
31,21.9
32,20.2
33,17.9
34,18.3
35,19.5
36,19.6
37,17.1
38,15.0
39,14.8
40,16.1
41,17.1
42,16.7
43,13.6
44,11.8
45,12.1
46,12.0
47,11.8
48,13.2
49,13.7
50,13.1
51,12.7
52,12.1
53,11.7
54,11.3
55,11.0
56,11.0
57,9.8
58,9.7
59,9.6
60,7.3
61,6.9
62,7.3
63,6.1
64,5.0
65,3.2
66,1.0
67,1.7
68,2.4
69,2.3
70,2.1
71,1.8
72,1.5
73,0.8
74,0.6
75,0.6
