t,alt
0,0.6
1,0.5
2,0.5
3,0.5
4,1.4
5,3.8
6,19.5
7,35.2
8,36.0
9,36.6
10,36.9
11,36.9
12,35.1
13,33.2
14,32.0
15,32.8
16,34.0
17,33.0
18,30.4
19,29.5
20,29.5
21,29.3
22,26.4
23,26.0
24,28.1
25,28.2
26,28.8
27,28.9
28,27.6
29,27.9
30,27.0
31,26.8
32,28.5
33,29.8
34,29.2
35,28.1
36,28.4
37,28.5
38,28.5
39,29.6
40,29.7
41,28.0
42,25.9
43,24.0
44,21.0
45,19.0
46,17.4
47,20.1
48,23.2
49,24.1
50,23.6
51,22.9
52,24.1
53,24.7
54,22.8
55,21.4
56,22.2
57,22.1
58,23.0
59,23.6
60,20.9
61,18.3
62,19.5
63,21.1
64,20.4
65,21.3
66,22.6
67,22.9
68,20.7
69,19.3
70,19.4
71,17.5
72,16.1
73,15.5
74,14.0
75,12.5
76,12.5
77,12.0
78,10.4
79,8.5
80,3.8
81,3.7
82,0.0
83,0.4
84,0.4
85,0.4
86,0.3
