t,alt
0,0.0
1,0.1
2,0.0
3,1.2
4,2.9
5,25.5
6,39.0
7,40.6
8,39.4
9,38.2
10,37.5
11,35.3
12,33.8
13,33.7
14,34.6
15,33.2
16,33.6
17,34.4
18,33.9
19,30.9
20,28.2
21,29.0
22,30.5
23,31.0
24,31.3
25,31.2
26,32.3
27,33.0
28,32.4
29,30.9
30,30.2
31,30.2
32,31.7
33,31.9
34,30.6
35,30.7
36,31.3
37,31.8
38,31.4
39,29.7
40,27.1
41,25.9
42,26.0
43,26.1
44,26.7
45,27.4
46,24.7
47,21.1
48,20.5
49,22.0
50,23.1
51,22.6
52,20.9
53,19.3
54,19.5
55,17.0
56,13.6
57,12.8
58,13.7
59,14.4
60,13.5
61,12.4
62,13.2
63,13.3
64,12.2
65,9.7
66,7.3
67,6.9
68,7.8
69,8.8
70,8.5
71,5.3
72,4.7
73,4.3
74,3.9
75,3.5
76,2.8
77,2.6
78,2.6
79,2.6
80,2.5
81,2.2
82,1.7
83,0.3
84,0.0
85,0.0
