t,alt
0,1.1
1,1.1
2,1.0
3,1.1
4,4.0
5,16.2
6,35.6
7,35.6
8,43.3
9,41.9
10,40.3
11,40.7
12,39.7
13,39.9
14,39.1
15,36.8
16,35.1
17,34.4
18,33.8
19,30.9
20,30.3
21,31.7
22,32.5
23,31.1
24,31.2
25,31.5
26,30.7
27,29.7
28,30.7
29,29.3
30,29.3
31,28.7
32,28.1
33,27.1
34,25.3
35,24.8
36,24.4
37,24.0
38,24.2
39,24.3
40,24.6
41,24.5
42,23.2
43,19.3
44,17.2
45,17.1
46,17.7
47,17.6
48,16.1
49,15.1
50,14.8
51,14.8
52,14.6
53,13.2
54,10.7
55,9.2
56,10.4
57,11.7
58,12.2
59,11.3
60,10.6
61,10.4
62,9.1
63,8.9
64,8.6
65,8.9
66,8.6
67,6.6
68,6.0
69,6.7
70,6.3
71,4.9
72,4.6
73,4.4
74,4.0
75,3.7
76,3.6
77,2.6
78,1.6
79,1.7
80,0.6
81,1.6
82,1.8
83,1.7
84,1.8
85,1.8
86,1.8
87,1.8
88,1.7
89,1.7
90,1.4
91,1.4
92,1.4
93,1.5
94,1.5
95,1.5
96,1.5
97,1.5
98,1.4
99,1.4
100,1.4
101,1.3
102,0.8
103,0.4
104,0.4
105,0.4
106,0.4
