t,alt
0,0.0
1,0.0
2,1.3
3,4.5
4,25.6
5,42.4
6,44.6
7,44.1
8,43.6
9,42.3
10,41.9
11,41.7
12,41.3
13,40.9
14,40.3
15,40.4
16,40.5
17,39.8
18,38.8
19,38.5
20,38.5
21,35.6
22,35.3
23,34.8
24,31.6
25,30.1
26,32.0
27,32.3
28,31.4
29,31.1
30,30.4
31,29.8
32,27.3
33,25.1
34,23.2
35,21.0
36,19.5
37,18.9
38,19.2
39,20.5
40,20.9
41,21.5
42,22.1
43,21.3
44,18.7
45,19.0
46,18.6
47,16.9
48,15.6
49,16.3
50,16.5
51,16.4
52,15.0
53,13.5
54,12.1
55,11.8
56,12.0
57,12.0
58,11.0
59,9.4
60,7.7
61,6.5
62,6.6
63,6.6
64,5.7
65,5.5
66,6.0
67,5.0
68,4.9
69,5.3
70,5.3
71,3.7
72,3.2
73,3.0
74,2.1
75,1.2
76,1.4
77,0.2
78,-0.3
79,-0.3
