t,alt
0,0.6
1,0.5
2,0.7
3,1.4
4,17.1
5,31.9
6,44.0
7,45.4
8,43.1
9,40.4
10,39.1
11,40.1
12,41.6
13,40.6
14,38.9
15,39.3
16,39.7
17,37.9
18,36.1
19,35.3
20,35.3
21,35.1
22,34.4
23,33.3
24,33.5
25,34.2
26,34.6
27,34.3
28,33.0
29,32.2
30,32.2
31,32.0
32,30.5
33,29.8
34,29.8
35,29.9
36,29.7
37,29.6
38,29.1
39,28.4
40,27.0
41,26.5
42,26.1
43,24.4
44,21.4
45,19.7
46,19.4
47,18.9
48,17.5
49,15.7
50,16.6
51,18.0
52,18.5
53,17.2
54,14.5
55,12.8
56,11.3
57,10.6
58,9.1
59,8.8
60,9.1
61,8.5
62,6.5
63,4.1
64,3.4
65,4.4
66,4.8
67,5.3
68,5.3
69,4.8
70,4.7
71,4.1
72,3.0
73,2.5
74,2.3
75,1.8
76,1.5
77,1.1
78,1.0
79,1.0
80,1.2
