t,alt
0,0.5
1,0.5
2,0.4
3,1.5
4,7.7
5,28.1
6,39.1
7,44.9
8,44.8
9,42.6
10,36.9
11,33.1
12,33.5
13,33.0
14,30.2
15,29.4
16,31.7
17,32.4
18,32.5
19,34.2
20,34.3
21,35.3
22,36.8
23,35.3
24,32.0
25,28.9
26,26.1
27,24.1
28,21.6
29,22.6
30,22.4
31,19.1
32,19.7
33,21.9
34,20.5
35,20.3
36,18.4
37,15.1
38,13.0
39,10.3
40,7.4
41,7.6
42,8.1
43,7.8
44,8.2
45,7.5
46,6.9
47,7.7
48,8.7
49,7.6
50,6.0
51,5.2
52,5.0
53,5.9
54,6.7
55,6.6
56,6.7
57,5.9
58,5.8
59,5.6
60,4.7
61,4.8
62,4.0
63,2.8
64,1.8
65,1.3
66,2.2
67,1.1
68,0.7
69,1.6
70,0.2
71,1.2
72,0.8
73,0.8
74,0.7
75,0.9
76,0.4
77,0.0
78,-0.2
79,-0.1
80,-0.1
81,-0.1
82,-0.1
83,-0.1
84,-0.1
85,-0.1
86,-0.1
87,-0.1
88,-0.1
89,0.3
90,0.7
91,0.7
92,0.3
93,0.3
94,0.0
95,0.3
96,0.3
97,0.3
98,0.3
99,0.3
