t,alt
0,0.6
1,0.5
2,0.8
3,2.5
4,16.0
5,35.2
6,46.7
7,47.4
8,44.9
9,42.2
10,41.0
11,40.0
12,40.7
13,40.7
14,39.4
15,37.6
16,36.9
17,36.1
18,34.7
19,32.3
20,31.4
21,34.2
22,34.8
23,33.6
24,31.9
25,31.7
26,28.9
27,23.1
28,23.0
29,25.1
30,27.0
31,28.1
32,25.8
33,22.9
34,21.3
35,19.6
36,19.5
37,21.2
38,22.0
39,21.1
40,17.6
41,14.6
42,13.6
43,14.8
44,15.7
45,14.4
46,13.6
47,11.7
48,11.0
49,11.2
50,11.4
51,11.3
52,11.7
53,11.6
54,9.8
55,8.9
56,9.5
57,8.9
58,7.8
59,6.9
60,5.6
61,5.7
62,5.2
63,5.3
64,5.1
65,4.5
66,2.7
67,3.1
68,3.6
69,3.1
70,2.8
71,2.6
72,2.2
73,0.0
74,0.4
75,0.4
