t,alt
0,0.8
1,0.8
2,1.2
3,3.0
4,15.1
5,33.1
6,40.0
7,41.1
8,39.3
9,39.0
10,38.0
11,37.9
12,38.2
13,37.8
14,35.8
15,32.9
16,32.7
17,32.8
18,33.8
19,33.9
20,31.7
21,30.5
22,29.5
23,29.7
24,29.5
25,29.1
26,29.1
27,29.9
28,30.3
29,30.7
30,30.5
31,30.0
32,29.4
33,29.8
34,29.2
35,28.5
36,26.8
37,24.0
38,23.5
39,24.4
40,23.6
41,21.7
42,20.9
43,21.1
44,22.2
45,21.7
46,20.2
47,18.8
48,19.7
49,20.9
50,20.4
51,20.8
52,20.1
53,18.7
54,15.7
55,12.9
56,12.6
57,12.8
58,11.9
59,11.6
60,11.1
61,10.6
62,9.3
63,8.5
64,9.2
65,10.1
66,10.6
67,10.1
68,8.9
69,8.8
70,8.3
71,7.8
72,8.1
73,7.4
74,6.9
75,6.9
76,6.6
77,6.2
78,6.0
79,6.0
80,6.1
81,6.2
82,5.5
83,3.9
84,3.5
85,3.8
86,3.3
87,2.8
88,2.7
89,2.7
90,2.4
91,1.9
92,1.6
93,1.3
94,1.3
95,1.6
96,1.4
