t,alt
0,0.3
1,0.3
2,1.0
3,2.8
4,21.5
5,36.4
6,41.8
7,41.3
8,40.9
9,40.0
10,37.2
11,38.8
12,39.3
13,38.1
14,37.9
15,37.5
16,36.3
17,34.9
18,36.9
19,37.7
20,35.9
21,35.7
22,36.1
23,35.7
24,34.4
25,34.0
26,34.2
27,33.5
28,33.8
29,32.9
30,31.4
31,30.5
32,30.1
33,29.8
34,28.9
35,28.1
36,28.2
37,28.1
38,27.3
39,27.0
40,27.0
41,26.9
42,25.7
43,24.6
44,23.3
45,22.2
46,22.3
47,21.9
48,21.0
49,19.9
50,19.0
51,18.7
52,19.9
53,19.6
54,18.1
55,18.1
56,16.9
57,15.4
58,14.8
59,14.6
60,13.9
61,13.6
62,13.2
63,10.9
64,9.7
65,10.3
66,10.6
67,10.9
68,10.9
69,11.3
70,10.0
71,8.5
72,8.6
73,9.2
74,8.4
75,6.9
76,6.5
77,5.4
78,3.6
79,3.0
80,1.4
81,-0.3
82,0.1
