t,alt
0,0.8
1,0.7
2,1.5
3,2.4
4,26.6
5,39.4
6,43.5
7,42.3
8,39.9
9,39.3
10,39.8
11,39.3
12,39.0
13,38.6
14,38.3
15,37.0
16,35.7
17,33.9
18,31.8
19,30.5
20,29.6
21,29.9
22,30.0
23,30.1
24,29.0
25,28.3
26,26.5
27,25.9
28,25.8
29,25.2
30,24.3
31,22.5
32,20.4
33,20.7
34,20.2
35,20.4
36,19.8
37,18.2
38,17.1
39,17.4
40,15.9
41,15.0
42,14.7
43,14.7
44,15.0
45,14.8
46,15.1
47,14.9
48,14.1
49,13.9
50,14.2
51,13.6
52,12.5
53,12.6
54,12.4
55,11.8
56,11.8
57,11.4
58,10.7
59,9.9
60,7.6
61,7.6
62,5.3
63,3.4
64,3.7
65,2.7
66,2.7
67,2.6
68,0.6
69,1.7
70,1.6
71,1.7
