t,alt
0,0.3
1,0.3
2,0.3
3,1.3
4,4.3
5,25.7
6,41.8
7,47.7
8,46.4
9,43.2
10,44.6
11,46.1
12,43.6
13,43.3
14,43.5
15,41.8
16,39.8
17,40.9
18,39.3
19,37.0
20,34.6
21,34.6
22,35.5
23,35.0
24,35.0
25,34.3
26,31.6
27,31.4
28,32.2
29,31.2
30,30.2
31,29.9
32,30.4
33,29.7
34,28.8
35,29.1
36,28.3
37,27.8
38,27.7
39,26.3
40,25.3
41,24.4
42,22.7
43,21.6
44,19.4
45,20.2
46,20.1
47,20.2
48,17.1
49,14.9
50,13.9
51,15.5
52,16.3
53,15.5
54,14.9
55,13.7
56,13.1
57,12.3
58,11.7
59,9.1
60,7.9
61,7.5
62,6.9
63,5.9
64,4.6
65,4.7
66,4.9
67,3.3
68,2.9
69,2.8
70,1.7
71,1.7
72,1.3
73,1.3
74,1.5
75,1.2
76,1.1
77,1.0
78,2.1
79,1.4
80,1.1
