t,alt
0,0.8
1,0.8
2,1.1
3,2.4
4,19.5
5,37.0
6,46.1
7,46.1
8,42.7
9,45.2
10,45.4
11,43.3
12,41.8
13,40.5
14,42.2
15,43.4
16,42.1
17,42.0
18,42.6
19,41.5
20,40.1
21,39.2
22,37.9
23,38.7
24,39.3
25,37.2
26,34.3
27,34.3
28,36.6
29,37.8
30,38.0
31,37.4
32,36.7
33,36.2
34,35.3
35,30.4
36,28.9
37,29.2
38,29.9
39,30.6
40,29.1
41,28.1
42,27.7
43,26.5
44,26.8
45,26.9
46,25.6
47,24.2
48,23.4
49,22.7
50,21.7
51,21.4
52,19.4
53,18.5
54,19.0
55,18.3
56,16.9
57,15.9
58,14.8
59,13.8
60,13.6
61,12.3
62,11.7
63,8.8
64,6.8
65,8.0
66,8.0
67,6.5
68,5.4
69,5.3
70,3.8
71,2.5
72,2.1
73,2.9
74,3.0
75,2.4
76,0.9
77,0.5
78,0.3
79,0.3
80,0.2
81,0.3
82,1.4
83,1.4
84,1.4
85,1.5
86,1.3
87,1.4
88,1.1
89,1.2
90,1.3
