t,alt
0,0.0
1,1.5
2,1.5
3,2.1
4,5.2
5,22.2
6,36.6
7,37.4
8,38.0
9,38.0
10,38.0
11,37.0
12,37.3
13,38.2
14,37.4
15,36.5
16,36.0
17,35.4
18,33.1
19,32.4
20,32.1
21,34.8
22,35.2
23,33.6
24,32.6
25,31.0
26,31.0
27,31.3
28,31.3
29,32.2
30,31.5
31,30.3
32,29.7
33,30.0
34,29.4
35,28.6
36,27.5
37,26.8
38,26.2
39,26.1
40,26.0
41,24.4
42,24.7
43,24.9
44,22.7
45,19.3
46,17.0
47,16.4
48,18.7
49,19.3
50,17.7
51,16.8
52,16.7
53,14.4
54,13.3
55,12.8
56,13.0
57,13.5
58,12.7
59,12.1
60,10.8
61,9.9
62,10.8
63,10.3
64,8.2
65,6.6
66,6.0
67,4.6
68,3.8
69,2.8
70,2.4
71,3.1
72,3.5
73,2.0
74,1.3
75,1.3
76,1.3
