t,alt
0,0.4
1,0.4
2,1.0
3,1.8
4,15.8
5,34.2
6,45.1
7,44.8
8,43.6
9,42.2
10,40.5
11,39.5
12,40.3
13,41.1
14,41.6
15,41.6
16,41.3
17,40.2
18,38.6
19,35.8
20,35.3
21,37.6
22,38.7
23,37.8
24,35.1
25,32.3
26,30.1
27,28.7
28,27.8
29,27.9
30,28.2
31,28.4
32,28.2
33,26.0
34,21.8
35,18.0
36,13.4
37,12.2
38,13.7
39,16.6
40,16.1
41,16.7
42,16.4
43,15.5
44,14.9
45,15.4
46,14.8
47,14.1
48,14.5
49,14.0
50,13.4
51,12.8
52,11.2
53,9.9
54,10.1
55,10.1
56,9.7
57,9.5
58,9.8
59,7.8
60,5.0
61,4.0
62,2.5
63,2.2
64,2.7
65,1.8
66,2.1
67,1.0
68,0.7
69,0.9
70,1.1
71,0.9
72,0.0
73,0.8
74,1.0
