t,alt
0,0.7
1,0.6
2,1.6
3,12.0
4,32.7
5,45.4
6,46.8
7,44.4
8,42.5
9,43.0
10,39.9
11,37.9
12,37.5
13,36.7
14,35.7
15,35.9
16,35.3
17,31.8
18,27.7
19,25.9
20,24.2
21,26.3
22,28.2
23,28.4
24,29.3
25,29.0
26,27.6
27,26.8
28,24.8
29,24.7
30,26.6
31,24.0
32,21.1
33,18.3
34,16.6
35,16.6
36,17.1
37,17.2
38,17.1
39,16.2
40,14.7
41,16.6
42,15.0
43,12.5
44,11.4
45,11.1
46,11.0
47,10.9
48,9.2
49,7.4
50,5.9
51,6.8
52,6.2
53,4.9
54,5.0
55,3.8
56,3.4
57,3.5
58,2.8
59,3.2
60,2.9
61,2.6
62,0.9
63,0.2
64,0.2
65,0.2
66,0.2
67,0.1
68,0.4
