t,alt
0,1.1
1,1.1
2,1.1
3,1.5
4,4.7
5,19.4
6,40.2
7,47.2
8,47.3
9,44.4
10,45.0
11,44.4
12,42.8
13,42.7
14,42.2
15,42.7
16,42.3
17,40.7
18,39.8
19,39.2
20,39.7
21,39.1
22,38.9
23,38.3
24,38.0
25,38.1
26,38.3
27,38.2
28,36.4
29,35.1
30,34.4
31,34.2
32,31.6
33,29.9
34,27.9
35,27.0
36,26.8
37,26.8
38,26.5
39,27.3
40,27.1
41,24.8
42,22.1
43,20.2
44,18.3
45,17.0
46,16.2
47,15.1
48,12.9
49,13.6
50,14.3
51,14.6
52,13.7
53,12.2
54,10.7
55,11.0
56,11.2
57,10.4
58,10.8
59,9.4
60,6.0
61,4.5
62,4.7
63,5.5
64,5.3
65,4.0
66,3.0
67,2.5
68,3.2
69,1.6
70,0.7
71,0.7
