t,alt
0,1.3
1,2.0
2,15.3
3,28.6
4,37.6
5,38.9
6,36.6
7,34.5
8,34.8
9,34.2
10,32.8
11,28.6
12,29.1
13,29.7
14,29.4
15,29.3
16,28.4
17,27.9
18,26.9
19,26.0
20,26.0
21,24.6
22,23.3
23,22.8
24,23.4
25,23.4
26,22.2
27,21.4
28,21.3
29,20.5
30,20.2
31,20.6
32,20.7
33,20.3
34,19.6
35,19.0
36,17.8
37,16.0
38,11.9
39,10.3
40,10.7
41,12.0
42,10.0
43,9.0
44,10.0
45,10.0
46,9.9
47,10.7
48,10.7
49,10.6
50,10.0
51,9.3
52,8.6
53,8.1
54,6.9
55,4.7
56,3.5
57,3.5
58,3.2
59,2.4
60,1.0
61,0.8
62,0.9
63,0.9
64,0.8
65,0.8
66,0.9
67,1.9
68,2.1
69,2.2
70,2.0
