t,alt
0,0.6
1,0.7
2,1.4
3,2.4
4,24.9
5,39.8
6,44.1
7,44.2
8,42.9
9,41.9
10,39.9
11,39.4
12,37.8
13,35.3
14,31.9
15,29.2
16,25.8
17,26.0
18,27.9
19,29.5
20,29.5
21,27.5
22,27.1
23,27.1
24,26.3
25,26.0
26,26.3
27,26.4
28,24.3
29,23.1
30,22.6
31,21.3
32,19.9
33,17.7
34,16.9
35,17.6
36,17.8
37,17.9
38,17.1
39,15.8
40,12.6
41,10.1
42,8.5
43,8.3
44,9.1
45,8.9
46,8.2
47,8.6
48,8.2
49,6.5
50,5.2
51,5.8
52,4.8
53,2.6
54,2.5
55,4.0
56,5.2
57,5.2
58,4.5
59,3.9
60,3.1
61,2.3
62,1.5
63,1.6
64,1.5
65,1.4
66,0.2
