t,alt
0,0.0
1,0.1
2,0.2
3,1.7
4,12.2
5,31.7
6,40.1
7,42.1
8,41.4
9,39.9
10,40.0
11,39.4
12,39.0
13,39.0
14,39.3
15,39.0
16,37.2
17,35.4
18,34.2
19,33.6
20,33.3
21,32.1
22,32.2
23,33.3
24,33.6
25,32.1
26,29.9
27,29.2
28,29.6
29,29.0
30,28.4
31,27.4
32,26.2
33,25.5
34,25.6
35,24.8
36,23.0
37,23.7
38,23.3
39,20.2
40,19.1
41,18.3
42,16.8
43,15.8
44,16.0
45,16.4
46,15.7
47,15.5
48,15.0
49,14.4
50,13.7
51,12.8
52,12.7
53,12.2
54,10.7
55,10.8
56,10.4
57,9.0
58,7.8
59,7.5
60,7.3
61,7.2
62,6.0
63,5.2
64,5.1
65,4.6
66,4.9
67,4.3
68,3.0
69,3.0
70,3.0
71,2.1
72,1.9
73,2.4
74,2.3
75,1.7
76,1.1
77,0.8
78,0.9
79,0.8
80,0.8
