t,alt
0,1.1
1,1.0
2,1.0
3,2.2
4,7.2
5,30.0
6,46.6
7,49.1
8,47.9
9,46.3
10,46.1
11,46.3
12,45.7
13,43.5
14,43.2
15,43.1
16,43.2
17,42.1
18,42.1
19,42.4
20,41.5
21,39.9
22,40.4
23,41.2
24,40.7
25,40.1
26,40.2
27,40.0
28,38.4
29,36.2
30,35.8
31,36.4
32,35.4
33,32.4
34,31.1
35,30.9
36,31.3
37,31.4
38,31.9
39,32.5
40,32.0
41,30.7
42,29.5
43,30.3
44,30.9
45,30.6
46,30.2
47,30.1
48,29.3
49,27.7
50,26.2
51,25.7
52,25.0
53,23.5
54,22.1
55,21.9
56,20.8
57,20.1
58,19.6
59,20.0
60,20.1
61,20.2
62,19.3
63,18.7
64,18.3
65,18.1
66,17.9
67,17.0
68,16.1
69,16.1
70,16.4
71,15.4
72,14.9
73,14.8
74,15.2
75,14.8
76,13.7
77,12.8
78,12.7
79,12.8
80,12.5
81,11.5
82,10.5
83,10.5
84,10.7
85,10.6
86,10.2
87,9.5
88,9.1
89,8.7
90,8.6
91,7.2
92,6.0
93,5.5
94,4.8
95,4.3
96,4.1
97,3.5
98,4.1
99,3.9
100,4.0
101,2.6
102,1.8
103,1.1
104,1.7
105,1.7
106,1.7
107,1.9
