t,alt
0,0.4
1,0.5
2,0.9
3,5.1
4,22.1
5,38.9
6,46.6
7,47.1
8,44.5
9,42.2
10,42.9
11,42.7
12,40.8
13,37.7
14,36.7
15,36.6
16,35.8
17,34.9
18,34.4
19,34.7
20,33.9
21,33.7
22,32.4
23,32.4
24,31.6
25,29.3
26,27.3
27,24.1
28,24.4
29,25.6
30,25.5
31,25.0
32,23.7
33,22.4
34,19.1
35,14.2
36,13.0
37,12.2
38,12.6
39,13.2
40,13.6
41,13.4
42,13.0
43,12.6
44,12.0
45,10.3
46,10.2
47,10.0
48,9.2
49,9.1
50,8.9
51,7.7
52,6.5
53,4.8
54,4.4
55,3.9
56,3.8
57,4.1
58,2.7
59,2.8
60,2.3
61,1.3
62,1.4
63,1.2
64,1.1
65,1.0
