t,alt
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.8
6,5.2
7,32.0
8,44.2
9,47.0
10,44.5
11,40.2
12,38.2
13,35.8
14,32.1
15,29.3
16,27.2
17,29.3
18,32.8
19,33.7
20,33.5
21,32.7
22,31.8
23,29.1
24,27.3
25,29.0
26,29.1
27,28.8
28,28.9
29,29.3
30,27.8
31,24.1
32,21.3
33,21.7
34,22.4
35,23.1
36,21.9
37,20.6
38,20.9
39,19.7
40,18.2
41,17.9
42,15.4
43,11.4
44,7.6
45,7.1
46,7.7
47,7.3
48,8.7
49,8.2
50,6.3
51,6.4
52,6.7
53,6.9
54,5.0
55,4.8
56,5.1
57,4.1
58,3.5
59,1.7
60,1.4
61,1.6
62,0.6
63,0.3
64,1.2
65,0.1
66,-0.1
67,-0.3
68,-0.1
69,0.1
70,0.1
71,1.6
72,0.7
73,1.5
74,2.0
75,1.1
76,1.0
77,0.4
78,0.2
79,0.2
80,0.2
81,0.2
82,-0.1
83,-0.2
84,-0.2
85,-0.3
86,-0.2
87,0.1
88,0.5
89,0.8
90,1.2
91,1.4
92,1.5
93,1.1
94,1.2
95,0.8
96,0.6
97,0.5
98,-0.1
99,-0.2
100,-0.3
101,-0.2
102,-0.2
103,-0.2
104,-0.2
105,-0.2
106,-0.2
