t,alt
0,1.2
1,1.2
2,1.2
3,2.4
4,6.2
5,22.1
6,36.3
7,38.4
8,38.2
9,38.8
10,39.5
11,41.1
12,42.1
13,43.2
14,43.7
15,44.4
16,45.3
17,46.1
18,46.3
19,46.2
20,47.1
21,48.1
22,47.3
23,47.4
24,47.3
25,48.4
26,49.7
27,49.3
28,50.3
29,50.5
30,50.1
31,48.7
32,48.3
33,49.6
34,50.7
35,51.7
36,52.4
37,52.9
38,53.0
39,52.8
40,54.1
41,54.8
42,54.6
43,55.8
44,56.2
45,56.1
46,55.6
47,56.5
48,55.8
49,55.7
50,53.7
51,54.0
52,54.5
53,55.0
54,55.6
55,53.9
56,54.3
57,53.6
58,52.9
59,53.8
60,53.8
61,53.5
62,52.5
63,51.8
64,53.2
65,52.1
66,50.8
67,52.0
68,52.6
69,52.6
70,52.1
71,52.4
72,53.3
73,52.5
74,52.3
75,51.6
76,50.2
77,49.3
78,50.0
79,49.8
80,48.8
81,49.1
82,48.6
83,47.7
84,46.4
85,45.2
86,46.4
87,46.9
88,44.1
89,42.3
90,42.0
91,40.7
92,39.4
93,40.8
94,42.4
95,43.9
96,42.1
97,40.7
98,41.6
99,43.5
100,43.9
101,44.3
102,44.5
103,46.1
104,45.6
105,44.5
106,44.4
107,44.4
108,45.8
109,48.4
110,49.8
111,49.1
112,48.9
113,51.5
114,53.8
115,53.5
116,52.9
117,54.6
118,55.3
119,54.1
120,54.3
121,53.5
122,53.7
123,55.4
124,55.0
125,53.3
126,52.9
127,50.0
128,51.8
129,53.1
130,49.1
131,44.2
132,43.2
133,42.3
134,44.2
135,44.0
136,42.5
137,40.7
138,40.5
139,40.1
140,39.0
141,38.7
142,39.0
143,39.8
144,39.4
145,36.6
146,35.2
147,34.1
148,33.1
149,31.4
150,29.2
151,27.7
152,27.2
153,26.0
154,23.1
155,20.9
156,18.9
157,16.8
158,12.5
159,9.7
160,8.9
161,7.9
162,6.8
163,6.3
164,6.6
165,6.5
166,5.9
167,4.2
168,3.9
169,4.1
170,3.7
171,3.1
172,2.7
173,2.2
174,2.0
175,0.6
176,0.8
177,0.8
178,0.8
179,0.8
