t,alt
0,0.2
1,0.3
2,1.3
3,6.3
4,30.5
5,41.0
6,41.8
7,39.6
8,36.6
9,32.6
10,29.7
11,26.4
12,24.3
13,23.8
14,24.5
15,25.3
16,25.5
17,24.1
18,21.3
19,17.7
20,16.7
21,18.9
22,18.6
23,16.5
24,15.6
25,15.8
26,16.3
27,16.8
28,18.3
29,18.5
30,18.4
31,17.1
32,17.3
33,17.3
34,16.9
35,17.9
36,17.0
37,16.8
38,16.7
39,15.8
40,16.0
41,16.5
42,16.4
43,15.2
44,15.0
45,15.6
46,15.2
47,14.6
48,14.9
49,15.1
50,13.6
51,11.2
52,9.6
53,9.5
54,8.5
55,7.8
56,7.5
57,7.4
58,6.7
59,6.2
60,6.3
61,6.3
62,6.4
63,6.2
64,5.3
65,4.1
66,2.4
67,2.2
68,2.0
69,2.5
70,0.0
71,0.9
72,1.1
