t,alt
0,0.4
1,0.4
2,1.4
3,2.1
4,25.4
5,41.0
6,47.2
7,47.5
8,46.2
9,45.1
10,44.8
11,46.3
12,46.6
13,46.2
14,44.9
15,46.1
16,46.9
17,46.8
18,43.5
19,40.0
20,40.2
21,41.0
22,40.4
23,38.4
24,37.8
25,38.2
26,39.0
27,38.2
28,36.4
29,34.1
30,33.5
31,32.2
32,30.4
33,28.4
34,28.4
35,24.0
36,20.8
37,19.1
38,20.4
39,21.8
40,20.9
41,20.0
42,19.5
43,17.6
44,14.6
45,11.1
46,10.0
47,10.0
48,10.4
49,10.3
50,9.4
51,7.3
52,6.5
53,5.8
54,6.4
55,6.4
56,6.0
57,5.0
58,4.1
59,3.4
60,1.7
61,1.2
62,1.5
63,1.1
64,1.1
65,1.1
66,1.1
67,1.2
