t,alt
0,0.4
1,0.6
2,2.0
3,14.3
4,35.4
5,45.6
6,44.6
7,42.9
8,41.4
9,40.9
10,41.3
11,41.9
12,41.1
13,41.4
14,41.4
15,40.8
16,40.3
17,39.8
18,38.3
19,37.4
20,36.6
21,36.3
22,36.0
23,33.5
24,30.9
25,29.1
26,29.3
27,28.4
28,26.0
29,22.6
30,23.7
31,25.3
32,25.3
33,23.7
34,23.3
35,23.2
36,23.0
37,22.1
38,21.4
39,20.9
40,20.3
41,19.5
42,19.1
43,18.1
44,16.9
45,16.3
46,15.0
47,14.3
48,15.0
49,14.8
50,14.5
51,13.0
52,12.3
53,11.7
54,10.7
55,8.8
56,7.1
57,6.3
58,5.9
59,6.2
60,6.0
61,3.8
62,2.4
63,1.9
64,2.1
65,1.9
66,1.4
67,1.2
68,1.3
