t,alt
0,2.1
1,4.9
2,9.7
3,35.0
4,43.0
5,43.7
6,42.1
7,41.7
8,41.8
9,41.2
10,40.1
11,39.7
12,38.9
13,38.8
14,37.0
15,37.6
16,38.1
17,37.2
18,35.5
19,34.0
20,31.4
21,29.8
22,28.8
23,28.9
24,30.4
25,30.2
26,30.2
27,30.7
28,30.4
29,30.7
30,30.1
31,28.4
32,28.3
33,28.3
34,28.1
35,26.9
36,25.4
37,22.9
38,23.4
39,24.7
40,25.3
41,25.1
42,24.9
43,24.1
44,22.8
45,22.7
46,23.7
47,24.0
48,23.4
49,22.4
50,22.7
51,22.4
52,20.3
53,19.4
54,19.8
55,20.0
56,17.0
57,11.1
58,8.3
59,7.1
60,7.5
61,8.0
62,8.7
63,9.8
64,10.0
65,10.5
66,11.1
67,10.5
68,10.4
69,10.0
70,10.6
71,10.1
72,10.1
73,10.6
74,9.6
75,9.2
76,8.7
77,8.6
78,7.9
79,7.9
80,8.6
81,7.9
82,7.3
83,6.7
84,6.9
85,5.8
86,4.9
87,4.9
88,3.5
89,3.0
90,2.8
91,2.9
92,2.3
93,1.9
94,1.4
95,1.5
96,1.5
