t,alt
0,0.0
1,0.1
2,1.1
3,4.8
4,25.2
5,40.6
6,46.7
7,45.6
8,43.2
9,41.4
10,41.7
11,43.9
12,44.0
13,42.7
14,42.8
15,43.1
16,43.0
17,43.6
18,42.1
19,41.4
20,42.3
21,43.3
22,42.7
23,42.0
24,41.6
25,41.1
26,41.3
27,41.0
28,39.8
29,39.0
30,37.3
31,35.9
32,35.8
33,36.0
34,36.4
35,35.7
36,33.2
37,32.5
38,32.6
39,31.1
40,30.6
41,31.4
42,31.2
43,29.7
44,28.4
45,28.5
46,28.1
47,26.5
48,26.4
49,27.0
50,26.5
51,22.6
52,19.6
53,19.7
54,20.8
55,19.7
56,19.3
57,19.5
58,18.8
59,19.1
60,19.6
61,19.8
62,18.9
63,18.5
64,18.1
65,17.4
66,16.6
67,17.0
68,16.4
69,16.0
70,14.3
71,12.6
72,12.4
73,12.2
74,11.3
75,8.5
76,8.8
77,8.1
78,7.7
79,3.9
80,3.2
81,3.2
82,3.5
83,4.5
84,5.0
85,4.0
86,3.6
87,1.6
88,1.7
89,1.4
90,0.7
91,1.0
92,1.1
