t,alt
0,0.0
1,0.6
2,1.3
3,0.7
4,24.2
5,38.6
6,44.5
7,46.8
8,46.0
9,44.5
10,43.6
11,43.6
12,43.3
13,42.5
14,41.3
15,40.5
16,40.1
17,39.2
18,38.3
19,36.5
20,35.4
21,35.6
22,35.5
23,34.4
24,33.0
25,32.8
26,32.8
27,31.4
28,30.3
29,30.3
30,29.8
31,29.1
32,29.1
33,28.3
34,27.1
35,27.4
36,27.1
37,26.7
38,27.0
39,27.1
40,25.9
41,24.3
42,24.3
43,23.9
44,24.5
45,24.7
46,24.1
47,23.5
48,22.4
49,22.7
50,22.7
51,21.7
52,21.8
53,22.3
54,22.6
55,22.3
56,22.1
57,22.0
58,21.5
59,20.2
60,19.5
61,20.1
62,20.1
63,19.4
64,19.3
65,18.8
66,18.3
67,17.2
68,16.7
69,16.2
70,16.0
71,16.6
72,17.5
73,16.8
74,15.3
75,14.4
76,14.1
77,14.9
78,14.8
79,13.6
80,14.3
81,13.5
82,12.0
83,10.9
84,10.0
85,9.3
86,8.9
87,8.5
88,8.2
89,7.6
90,7.3
91,6.8
92,6.0
93,5.5
94,5.2
95,4.4
96,5.2
97,4.3
98,3.3
99,3.2
100,2.8
101,3.2
102,3.4
103,3.1
104,3.0
105,2.3
106,1.4
107,0.9
108,0.4
109,0.3
