t,alt
0,0.3
1,0.3
2,0.7
3,1.4
4,8.4
5,28.5
6,41.0
7,43.8
8,43.4
9,41.5
10,40.8
11,41.1
12,39.8
13,39.3
14,38.8
15,37.2
16,34.0
17,34.7
18,36.1
19,35.9
20,34.4
21,33.6
22,32.9
23,32.3
24,31.7
25,31.4
26,30.1
27,25.0
28,21.7
29,22.3
30,23.9
31,23.2
32,24.0
33,22.5
34,21.5
35,23.2
36,23.8
37,21.8
38,19.2
39,19.9
40,20.2
41,19.7
42,18.4
43,18.5
44,17.1
45,15.7
46,15.3
47,15.2
48,13.9
49,12.2
50,11.8
51,12.8
52,13.5
53,12.8
54,11.0
55,10.5
56,10.3
57,9.8
58,9.7
59,8.3
60,6.4
61,5.9
62,5.2
63,4.4
64,3.7
65,2.7
66,3.2
67,3.1
68,2.1
69,1.7
70,1.9
71,1.0
72,0.2
73,0.2
74,0.1
75,0.1
