t,alt
0,0.0
1,0.1
2,0.8
3,3.0
4,22.8
5,35.7
6,39.1
7,37.2
8,33.4
9,32.7
10,31.6
11,29.4
12,27.7
13,27.2
14,27.7
15,27.1
16,27.0
17,27.1
18,27.2
19,27.4
20,28.0
21,27.8
22,26.5
23,26.9
24,26.3
25,24.6
26,23.5
27,22.6
28,22.0
29,22.3
30,22.9
31,22.8
32,21.4
33,20.9
34,20.2
35,17.5
36,14.8
37,13.5
38,14.2
39,15.8
40,16.9
41,17.0
42,16.2
43,15.8
44,15.4
45,14.9
46,14.3
47,13.8
48,14.5
49,14.3
50,14.0
51,13.8
52,13.5
53,12.7
54,13.1
55,13.0
56,11.9
57,11.0
58,11.4
59,10.9
60,10.1
61,9.6
62,9.3
63,9.4
64,8.7
65,7.8
66,7.2
67,7.6
68,7.3
69,6.4
70,6.2
71,6.2
72,5.6
73,5.1
74,4.9
75,3.2
76,3.1
77,2.9
78,2.0
79,2.1
80,2.2
81,1.6
82,0.4
83,0.1
84,0.0
