t,alt
0,0.0
1,0.2
2,0.2
3,0.2
4,1.2
5,5.0
6,27.0
7,41.3
8,48.3
9,48.2
10,45.0
11,39.7
12,34.4
13,34.0
14,35.6
15,32.7
16,30.8
17,29.6
18,30.0
19,32.3
20,31.6
21,29.9
22,27.9
23,24.4
24,22.2
25,23.8
26,26.1
27,27.8
28,27.9
29,26.3
30,23.0
31,25.4
32,25.9
33,25.6
34,26.0
35,25.3
36,22.9
37,22.2
38,22.7
39,24.0
40,24.0
41,23.0
42,22.5
43,23.9
44,22.1
45,19.4
46,20.0
47,20.0
48,21.4
49,23.2
50,24.4
51,23.5
52,21.4
53,20.1
54,20.2
55,21.3
56,22.5
57,22.8
58,23.7
59,23.7
60,23.3
61,25.1
62,26.0
63,25.0
64,24.1
65,23.8
66,24.9
67,26.7
68,28.0
69,28.0
70,27.4
71,27.1
72,28.5
73,27.3
74,25.1
75,23.3
76,18.1
77,16.8
78,19.0
79,17.4
80,16.1
81,15.4
82,14.9
83,14.5
84,12.9
85,10.9
86,7.5
87,3.6
88,2.4
89,3.5
90,5.5
91,5.8
92,3.9
93,2.2
94,1.7
95,2.8
96,3.3
97,2.4
98,1.6
99,0.7
100,0.8
101,0.0
102,-0.1
