t,alt
0,1.3
1,1.3
2,1.7
3,2.7
4,15.5
5,34.8
6,42.1
7,41.5
8,41.3
9,38.9
10,35.6
11,33.3
12,34.1
13,35.8
14,36.2
15,34.3
16,31.5
17,32.6
18,33.7
19,32.3
20,31.8
21,32.3
22,32.7
23,32.9
24,31.7
25,29.3
26,27.1
27,26.6
28,25.9
29,26.4
30,27.2
31,28.0
32,27.5
33,26.6
34,26.8
35,26.3
36,25.6
37,25.7
38,27.1
39,27.7
40,27.8
41,28.6
42,29.3
43,27.8
44,28.8
45,28.7
46,27.1
47,26.3
48,27.0
49,27.0
50,27.5
51,27.7
52,26.4
53,27.1
54,27.2
55,27.2
56,27.5
57,27.3
58,26.7
59,26.3
60,27.3
61,25.9
62,24.6
63,24.8
64,25.3
65,24.2
66,21.5
67,20.6
68,20.3
69,18.5
70,18.3
71,19.2
72,20.5
73,20.7
74,19.8
75,17.5
76,16.6
77,16.8
78,17.3
79,18.4
80,17.5
81,15.2
82,13.1
83,13.2
84,15.1
85,15.6
86,14.4
87,14.1
88,13.9
89,12.4
90,10.8
91,9.8
92,9.8
93,9.9
94,9.6
95,8.9
96,8.2
97,7.6
98,6.0
99,5.1
100,3.1
101,3.5
102,3.6
103,3.0
104,2.5
105,2.9
106,2.1
107,2.1
108,2.2
109,2.3
