t,alt
0,0.6
1,0.5
2,1.4
3,7.0
4,29.0
5,40.9
6,43.0
7,41.1
8,41.3
9,41.5
10,39.8
11,39.0
12,38.6
13,37.8
14,36.9
15,36.6
16,36.3
17,35.8
18,35.5
19,35.0
20,35.0
21,35.1
22,33.9
23,33.1
24,32.6
25,31.7
26,29.6
27,26.8
28,26.2
29,27.1
30,25.6
31,22.2
32,21.3
33,22.1
34,21.4
35,19.8
36,18.7
37,18.3
38,17.5
39,17.4
40,17.5
41,16.5
42,16.9
43,17.0
44,15.9
45,14.9
46,14.4
47,13.6
48,12.9
49,12.5
50,12.6
51,12.6
52,11.4
53,10.9
54,10.1
55,9.6
56,9.4
57,9.1
58,6.8
59,6.8
60,6.5
61,5.8
62,5.0
63,4.5
64,4.0
65,3.4
66,3.1
67,2.3
68,2.0
69,2.7
70,0.6
71,1.2
72,1.3
73,1.4
74,1.7
75,1.5
