t,alt
0,0.0
1,0.0
2,1.3
3,1.6
4,26.5
5,42.3
6,43.4
7,41.8
8,39.5
9,38.5
10,37.8
11,35.1
12,33.7
13,33.6
14,33.5
15,33.4
16,33.3
17,30.9
18,28.8
19,27.4
20,26.5
21,26.6
22,26.6
23,26.7
24,26.5
25,26.5
26,26.6
27,25.0
28,23.5
29,21.1
30,19.0
31,17.7
32,16.4
33,15.5
34,15.3
35,15.2
36,14.5
37,15.1
38,15.0
39,14.6
40,12.8
41,11.2
42,11.3
43,12.0
44,11.7
45,11.9
46,11.2
47,10.9
48,10.6
49,9.3
50,8.0
51,7.8
52,7.5
53,7.2
54,6.2
55,5.9
56,5.2
57,4.7
58,3.7
59,3.6
60,3.2
61,2.3
62,1.9
63,1.5
64,0.8
65,-0.3
66,-0.1
