t,alt
0,0.5
1,0.4
2,0.5
3,1.5
4,6.9
5,32.9
6,39.3
7,37.2
8,38.5
9,40.5
10,42.5
11,42.0
12,41.5
13,40.5
14,37.0
15,38.4
16,40.3
17,41.6
18,40.9
19,39.3
20,38.4
21,39.5
22,40.3
23,39.4
24,39.4
25,39.6
26,38.7
27,35.5
28,35.1
29,33.4
30,33.9
31,35.7
32,35.6
33,34.7
34,33.3
35,33.6
36,32.5
37,31.3
38,31.6
39,32.0
40,32.6
41,33.8
42,33.9
43,31.7
44,31.0
45,31.0
46,30.1
47,27.2
48,29.8
49,30.5
50,29.0
51,25.5
52,24.0
53,26.2
54,27.8
55,28.8
56,26.8
57,25.5
58,27.0
59,27.8
60,27.6
61,26.9
62,26.5
63,24.9
64,21.9
65,18.8
66,17.1
67,12.4
68,10.3
69,16.0
70,12.1
71,9.8
72,9.5
73,10.1
74,11.8
75,13.1
76,12.8
77,10.7
78,10.9
79,10.0
80,8.3
81,9.6
82,7.5
83,7.0
84,5.9
85,6.4
86,5.9
87,3.8
88,2.5
89,1.6
90,1.5
91,1.8
92,1.4
93,0.5
94,0.2
95,0.3
