t,alt
0,1.0
1,1.0
2,1.5
3,2.3
4,26.3
5,41.1
6,47.1
7,45.8
8,44.1
9,42.7
10,44.4
11,43.2
12,39.5
13,40.9
14,42.3
15,41.1
16,40.8
17,41.1
18,41.8
19,42.0
20,40.2
21,38.2
22,37.0
23,37.1
24,36.8
25,36.3
26,35.8
27,36.0
28,36.5
29,35.9
30,35.3
31,34.9
32,34.7
33,33.7
34,33.7
35,33.7
36,32.3
37,31.6
38,31.2
39,30.5
40,30.2
41,29.4
42,28.4
43,27.6
44,26.1
45,25.3
46,25.4
47,25.4
48,24.9
49,24.3
50,24.0
51,24.1
52,23.7
53,22.0
54,21.9
55,22.9
56,22.1
57,20.8
58,20.6
59,20.0
60,17.9
61,17.0
62,17.0
63,17.2
64,16.6
65,16.0
66,16.1
67,15.9
68,14.7
69,14.6
70,14.7
71,13.4
72,12.0
73,12.0
74,12.2
75,10.4
76,9.5
77,8.1
78,7.5
79,8.0
80,6.9
81,5.0
82,4.6
83,3.3
84,2.3
85,2.5
86,2.2
87,1.3
88,1.9
89,1.8
